,,,,
and,a,,,633
Amazon,Amazon,,,184
as,tak jako,,,84
about,o,,,65
Audio,Zvuk,,,28
at,na,,,73
are,jsou,,,69
also,taky,,,42
Aids,AIDS,,,13
accessibility,p?ístupnost,,,13
accessible,p?ístupný,,,12
all,vše,,,28
Along,Podél,,,8
always,vždy,,,12
advice,Rada,,,7
able,schopný,,,9
ask,dotázat se,,,6
alternate,st?ídat,,,7
available,dostupný,,,9
absolutely,Absolutn?,,,5
according,podle,,,6
amazing,úžasný,,,5
announcers,hlasatelé,,,5
Amina,Amina,,,5
Andrew,Andrew,,,5
aspect,aspekt,,,5
alum,kamenec,,,5
artist,um?lec,,,5
Alexa,Alexa,,,4
access,p?ístup,,,9
ability,schopnost,,,4
already,již,,,4
another,další,,,7
around,kolem,,,9
allows,umož?uje,,,4
audiologists,audiologové,,,3
acknowledges,uznává,,,4
affinity,afinita,,,4
allies,spojenci,,,3
apps,aplikace,,,3
Amazon's,Amazonky,,,6
Accelerator,Plynový pedál,,,4
address,adresa,,,12
alert,upozorn?ní,,,3
among,mezi,,,2
Arrival,P?íchod,,,2
assisting,asistující,,,3
award,cena,,,3
activities,?innosti,,,2
across,p?es,,,7
approach,p?ístup,,,6
asked,zeptal se,,,2
aspiring,aspirující,,,1
admits,p?iznává,,,1
approached,p?iblížil,,,1
anything,cokoliv,,,4
answers,odpov?di,,,2
ads,reklamy,,,1
accepted,p?ijato,,,2
advantage,výhoda,,,1
above,výše,,,1
accelerate,urychlit,,,4
accelerating,zrychlující se,,,
accept,akceptovat,,,
accomplishment,dosažení,,,
accounted,ú?továno,,,
accurate,p?esný,,,
accustomed,zvyklý,,,
achieve,dosáhnout,,,1
achieved,dosaženo,,,
achievement,úsp?ch,,,
acquire,získat,,,
acquisition,získávání,,,
acting,herectví,,,
action,akce,,,3
activated,aktivováno,,,
activates,aktivuje,,,
actively,aktivn?,,,
activist,aktivista,,,
actually,vlastn?,,,2
add,p?idat,,,2
added,p?idaný,,,1
addition,p?idání,,,2
Additional,Další,,,3
addressable,adresovatelný,,,
addressed,adresovaný,,,
adolescence,dospívání,,,
advanced,pokro?ilý,,,1
advocate,zastánce,,,
Aerospace,Aerospace,,,
affected,postižený,,,
afford,dovolit,,,
afforded,dovoleno,,,
Africa,Afrika,,,
African,Afri?an,,,
after,po,,,7
aftermath,následky,,,
against,proti,,,4
age,v?k,,,1
agency,agentura,,,1
agreement,dohoda,,,
AHBAP,AHBAP,,,
ahead,vp?ed,,,1
aide,pobo?ník,,,
aims,Cíle,,,2
air,vzduch,,,
air-conditioning,klimatizace,,,
alive,naživu,,,
allowed,povoleno,,,
almost,tém??,,,1
alone,sama,,,
alongside,vedle,,,
Alpine,Vysokohorský,,,
alternative,alternativní,,,1
Although,A?koli,,,
amid,uprost?ed,,,
amount,množství,,,2
ancestors,p?edci,,,
and/or,a/nebo,,,1
anecdote,anekdota,,,
announced,oznámil,,,4
annual,ro?ní,,,1
answering,odpovídání,,,
anticipate,p?edvídat,,,
anti-fog,nemlžící se,,,
Antigen,Antigen,,,
any,žádný,,,4
anymore,už,,,
anyone,kdokoliv,,,1
applicable,použitelný,,,
appointed,jmenovaný,,,
appreciate,cenit si,,,
apprenticeship,u?ební obor,,,
appropriate,odpovídající,,,
Arab,Arab,,,
areas,oblasti,,,
arm,paže,,,
aromadiffuser,aromadifuzér,,,
aromatherapy,aromaterapie,,,
arrangement,dohoda,,,
arrived,dorazil,,,
artificial,um?lý,,,2
ASL,ASL,,,
Association,Sdružení,,,
attention,Pozornost,,,
attentively,pozorn?,,,
audit,audit,,,
Aunt,Teta,,,
Australasian,australský,,,
Australia,Austrálie,,,
Austria,Rakousko,,,
author,autor,,,
automation,automatizace,,,
automotive,automobilový pr?mysl,,,
average,pr?m?rný,,,
avid,zanícený,,,
aware,v?domý,,,
awareness,pov?domí,,,
awkward,trapné,,,
AWS,AWS,,,6
apply,Aplikovat,,,2
accepting,p?ijímání,,,1
April,duben,,,6
acclaimed,uznávaný,,,1
Academy,Akademie,,,4
American,americký,,,5
administer,spravovat,,,2
advocating,obhajování,,,2
appreciation,uznání,,,2
Aileen,Aileen,,,1
amplifying,zesilující,,,1
assisted,asistované,,,1
Applications,aplikace,,,3
applicant,žadatel,,,2
arena,aréna,,,2
album,album,,,9
Aurora,Aurora,,,2
artistic,um?lecký,,,1
artwork,um?lecké dílo,,,1
aesthetically,esteticky,,,1
Astral,Astrální,,,1
alcohol,alkohol,,,1
appreciating,oce?ující,,,1
atoll,atol,,,1
away,pry?,,,2
animation,animace,,,1
afield,v zahrani?í,,,1
Animl,Animl,,,1
architecture,architektura,,,2
automated,Automatizovaný,,,2
annotate,opat?it poznámkami,,,1
Anacapa,Anacapa,,,1
actors,herci,,,4
attempting,pokoušející se,,,1
accounts,ú?ty,,,1
attempts,pokusy,,,1
abusive,urážlivý,,,1
authentic,autentický,,,2
accountable,odpov?dný,,,1
AMZ,AMZ,,,2
advertising,reklamní,,,1
appears,objeví se,,,1
abuse,zneužívání,,,1
ascent,výstup,,,4
Adam,Adame,,,8
academic,akademický,,,1
Associate,Spolupracovník,,,1
Antonio,Antonio,,,1
August,srpen,,,1
applied,aplikovaný,,,1
apartment,byt,,,1
Alternatively,Alternativn?,,,1
automatically,automaticky,,,1
accommodate,ubytovat,,,1
availability,dostupnost,,,1
Alfred,Alfréd,,,2
animated,animovaný,,,1
Angeles,Angeles,,,1
Armageddon,Armagedon,,,1
acres,akr?,,,1
accompanying,doprovázející,,,1
astonishing,udivující,,,1
adorned,ozdobený,,,1
alike,podobn?,,,1
Arlington,Arlington,,,1
accelerators,urychlova?e,,,3
addressing,oslovování,,,1
Alan,Alan,,,1
affordable,cenov? dostupné,,,1
approaches,p?ístupy,,,1
accessing,p?istupování,,,1
allocating,p?id?lování,,,1
administration,správa,,,1
apparel,od?v,,,2
Andy,Andy,,,1
agricultural,zem?d?lský,,,1
advisory,poradní,,,1
