,,,,
business,podnikání,,,46
by,podle,,,79
behind,za,,,27
be,být,,,54
best,nejlepší,,,21
but,ale,,,34
been,byl,,,26
build,stav?t,,,16
biggest,nejv?tší,,,10
broadcasters,vysílatel?,,,10
between,mezi,,,14
black,?erná,,,8
before,p?ed,,,13
being,bytost,,,12
built,postavený,,,8
bring,p?inést,,,9
Black-owned,?erný vlastn?ný,,,6
brought,p?inesl,,,6
broadcasts,vysílání,,,5
boasting,vychloubání,,,5
Berkeley,Berkeley,,,5
broadcasting,vysílání,,,5
Burke,Burke,,,4
Baha,Baha,,,4
big,velký,,,7
background,Pozadí,,,6
benefit,výhoda,,,4
building,budova,,,7
born,narozený,,,4
bypass,bypass,,,3
businesses,podniky,,,8
began,za?al,,,2
brand,zna?ka,,,2
backed,couval,,,1
beginning,za?átek,,,1
busy,zaneprázdn?ný,,,1
braids,zaneprázdn?ný,,,1
baby,copánky,,,1
based,na základ?,,,2
Bath,Koupel,,,1
because,protože,,,9
buyer,kupující,,,1
blocks,bloky,,,1
banks,bloky,,,1
becoming,banky,,,1
basically,stát se,,,2
Backbone,v podstat?,,,
backend,backend,,,
backup,záloha,,,
backwards,dozadu,,,
bar,bar,,,1
barbecue,grilování,,,
base,základna,,,1
basics,základy,,,
basting,podlévání,,,
batteries,baterie,,,1
beautifully,krásn?,,,
became,stal se,,,
becomes,se stane,,,2
bedroom,ložnice,,,
beg,žebrat,,,
begging,žebrání,,,
begin,zacít,,,1
beginner,za?áte?ník,,,
behalf,jménem,,,1
beliefs,presvedcení,,,
believ,v??it,,,
believe,víra,,,
beloved,milovaný,,,
below,níže,,,1
benchmark,benchmark,,,
beneath,pod,,,
Berry,Bobule,,,
bestie,bestie,,,
better,lepší,,,1
beyond,mimo,,,
BFFs,BFF,,,
bias,zaujatost,,,
bigger,v?tší,,,
bio,bio,,,3
biomass,biomasa,,,
blankets,p?ikrývky,,,
blast,výbuch,,,
Blended,Smíšené,,,
blindness,slepota,,,
blue,modrý,,,7
body,telo,,,
bold,tucne,,,
bond,pouto,,,1
book,rezervovat,,,4
bookworms,knihomol?,,,
boost,posílení,,,
bore,otvor,,,
bother,obt?žovat,,,
bottle,láhev,,,1
bottling,stá?ení do lahví,,,
bought,koupil,,,3
boundaries,hranice,,,
box,box,,,
boys,kluci,,,
brain,mozek,,,
break,p?estávka,,,1
breast,prsa,,,
breed,plemeno,,,
Broad,Široký,,,
broadening,rozší?ení,,,
broke,rozbil,,,
Broken,Zlomený,,,
brother,bratr,,,
budget,rozpocet,,,1
Bulgaria,Bulharsko,,,
bulky,objemný,,,
bullying,šikanování,,,
burglar,zlod?j,,,
burning,ho?ící,,,
Bartley,Bartley,,,1
Borders,Hranice,,,1
bestselling,nejprodávan?jší,,,1
basis,základ,,,1
band,kapela,,,3
burned,spálený,,,1
blaze,požár,,,1
Billy,Billy,,,4
bygone,dávný,,,1
brotherhood,bratrství,,,1
bandmates,spoluhrá?i z kapely,,,2
bit,bit,,,5
Bruce,Bruce,,,3
Bad,špatný,,,5
boring,nudný,,,1
biosecurity,biologická bezpe?nost,,,2
Barbara,Barbory,,,1
behavior,chování,,,1
borrow,p?j?it si,,,1
blade,?epel,,,1
battery,baterie,,,2
biologists,biologové,,,1
Bermuda,Bermudy,,,1
brokers,maklé?i,,,2
bow,luk,,,1
blows,rány,,,1
blizzard,vánice,,,1
billboard,plakátovací tabule,,,1
Beth,Beth,,,1
bouquets,kytice,,,1
barcode,?árový kód,,,2
bungalows,bungalovy,,,2
Ball,Mí?,,,2
blockbuster,trhák,,,1
Beetlejuice,Beetlejuice,,,1
blends,sm?si,,,1
booths,budky,,,1
bins,popelnice,,,1
breezeway,Breezeway,,,2
Boulevard,Bulvár,,,1
bioplastics,bioplast,,,8
biodegradable,biologicky rozložitelné,,,4
broader,širší,,,4
bacteria,bakterie,,,1
bread,chléb,,,1
barriers,bariéry,,,1
belt,pás,,,1
Biden,Biden,,,2
Bangladesh,Bangladéš,,,2
BSR,BSR,,,1
