,,,,
Career,Kariéra,,,39
camera,Fotoaparát,,,25
came,p?išel,,,11
challenging,náro?ný,,,11
collaborating,spolupracující,,,8
call,volání,,,7
collaboration,spolupráce,,,6
Cube,Krychle,,,6
commitment,závazek,,,14
come,p?ijít,,,6
continued,pokra?oval,,,7
combination,kombinace,,,6
content,obsah,,,5
CEO,výkonný ?editel,,,8
colorful,barvitý,,,9
continuing,pokra?ování,,,5
conversation,rozhovor,,,5
course,chod,,,5
create,vytvo?it,,,9
curious,zv?davý,,,5
currently,v sou?asné dob?,,,11
Charissa,Charissa,,,5
caught,chycen,,,6
chronicles,kroniky,,,5
craft,?emeslo,,,5
collaborative,kolaborativní,,,5
coordinating,koordinace,,,5
compound,slou?enina,,,5
comfortable,komfortní,,,5
changes,Zm?ny,,,5
catch,chytit,,,7
chance,chytit,,,5
college,vysoká škola,,,5
company,spole?nost,,,11
Central,Centrální,,,4
communication,komunikace,,,3
computer,po?íta?,,,4
continue,pokra?ovat,,,3
couch,gau?,,,4
collaborate,spolupracovat,,,5
comfortably,pohodln?,,,3
code,kód,,,6
case,pouzdro,,,9
comparing,srovnávání,,,3
clearly,jasn?,,,3
captions,titulky,,,3
connectivity,konektivitu,,,3
compatibility,kompatibilita,,,3
configured,nakonfigurováno,,,3
Carl,Carl,,,3
closely,úzce,,,2
corners,rohy,,,2
check,šek,,,4
Children,D?ti,,,2
Co-Founder,Spoluzakladatel,,,3
card,karta,,,5
catalog,katalog,,,1
clicking,katalog,,,1
cognitive,kliknutím,,,1
connection,poznávací,,,2
control,spojení,,,1
curated,kurátorský,,,1
car,kurátorský,,,1
creating,vytvá?ení,,,2
compelled,nuceni,,,1
clipped,nuceni,,,1
compartment,o?íznuté,,,1
confidently,p?ihrádka,,,1
care,sebev?dom?,,,1
cash,hotovost,,,1
clothing,oble?ení,,,2
coming,p?íchod,,,2
community,spole?enství,,,5
called,volal,,,2
challenge,výzva,,,5
considering,s ohledem na,,,1
capital,hlavní m?sto,,,6
collateral,vedlejší,,,1
calendar,kalendá?,,,1
California,Kalifornie,,,4
campaign,kampa?,,,
campus,kampus,,,14
Canada,Kanada,,,1
cancer,rakovina,,,
candidly,uprímne,,,
capabilities,schopnosti,,,
capacity,kapacita,,,1
Capitan,Kapitán,,,
carbon,uhlík,,,3
carefully,opatrn?,,,
Carolina,Karolín?,,,
car-racing,závody aut,,,
carrying,nesoucí,,,
Casino,Kasino,,,
caused,zp?sobil,,,
causing,zp?sobující,,,
ceased,p?estal,,,
ceilings,stropy,,,1
celebrate,slavit,,,2
celebrated,oslavil,,,
celebrating,slaví,,,
celebration,oslava,,,
center,centrum,,,2
Centre,Centrum,,,
ceremony,ob?ad,,,
certain,ur?itý,,,
certificate,osv?d?ení,,,
certification,osv?d?ení,,,1
Chain,?et?zec,,,11
chairs,židle,,,
changed,zm?n?no,,,1
channel,kanál,,,1
Chapter,Kapitola,,,
characters,postavy,,,1
Charleston,Charleston,,,
chat,povídat si,,,
chef,šéfkucha?,,,
Chief,Hlavní,,,
childhood,d?tství,,,
children,d?ti,,,
chime,rozeznít,,,
choice,výb?r,,,16
choose,Vybrat,,,4
chosen,vybráno,,,1
Chuk,Chuk,,,
Church,Kostel,,,
circuit,obvod,,,
circular,ob?žník,,,
city,m?sto,,,7
Clark,Clark,,,
classic,klasický,,,
classroom,t?ída,,,1
clean,?istý,,,
cleaning,?išt?ní,,,
clearing,zú?tování,,,
climbed,vylezl,,,
closed,zav?eno,,,
closer,blíž,,,2
cloud,mrak,,,1
clue,vodítko,,,
CO2,CO2,,,
CO2-neutral,CO2 neutrální,,,
coaching,koucování,,,
coast,pob?eží,,,2
coastal,pob?ežní,,,1
co-creation,spolutvo?ení,,,
coefficient,sou?initel,,,
coffee,káva,,,1
Cofield,Cofield,,,
cohesion,soudržnost,,,
cold,studený,,,
collage,koláž,,,
colleague,kolega,,,
colleague's,kolegyn?,,,
collected,shromážd?né,,,
collection,sbírka,,,
color,barva,,,
combined,kombinovaný,,,
commands,p?íkazy,,,
commemorating,p?ipomínající,,,
committed,angažovaný,,,1
commonly,b?žn?,,,
communicate,komunikovat,,,
communities,spolecenství,,,5
compared,v porovnání,,,
compelling,p?esv?d?ivé,,,
compete,sout?žit,,,
competitor,konkurent,,,
completely,zcela,,,
compromise,kompromis,,,
computing,výpo?etní,,,2
concentrate,soust?e? se,,,
concepts,koncepty,,,
concerned,znepokojený,,,
concert,koncert,,,3
concrete,beton,,,
condition,stav,,,1
Conducting,Dirigování,,,
conference,konference,,,1
confirmed,potvrzeno,,,
connected,pripojeno,,,
considered,považováno,,,2
Constraints,Omezení,,,
consume,konzumovat,,,
consumer,spot?ebitel,,,
consumerelectronics,spot?ební elektronika,,,
contact,Kontakt,,,
Containers,Kontejnery,,,
contemporary,moderní,,,1
contexts,kontexty,,,
continually,neustále,,,
continuous,kontinuální,,,
contract,smlouva,,,
contribute,p?isp?t,,,1
contributing,p?ispívající,,,
contributions,p?ísp?vky,,,
contributors,p?isp?vatel?,,,
converges,konverguje,,,
converted,p?evedeny,,,
conviction,presvedcení,,,
cooking,va?ení,,,
cooks,kucha?i,,,
cooktop,varná deska,,,
cool,chladný,,,3
coolest,nejlepší,,,
cooling,chlazení,,,
coordinate,koordinovat,,,
coordination,koordinace,,,
core,jádro,,,1
cornerstone,základní kámen,,,
corporate,firemní,,,5
Cosette,Cosette,,,2
cosmetics,kosmetika,,,
cost,náklady,,,1
could,mohl,,,14
Council,Rada,,,
counsellor,poradce,,,
counter,?elit,,,
counterfeit,pad?laný,,,
countries,zem?,,,
country,zem?,,,
couple,pár,,,1
courier,kurýr,,,
Covenant,Smlouva,,,
covers,kryty,,,1
COVID-19,COVID-19,,,1
co-worker,spolupracovník,,,
created,vytvo?ené,,,2
creative,tvo?ivý,,,
creativity,tvo?ivost,,,
creators,tv?rci,,,
credits,kredity,,,
Crescent,P?lm?síc,,,
critical,kritický,,,
critics,kritik?,,,
crockpot,hrnec,,,
cross-border,p?eshrani?ní,,,
crowd,dav,,,1
crowded,p?epln?ný,,,1
cues,narážky,,,
culture,kultura,,,
cured,vylé?ený,,,
curled,sto?ený,,,
current,aktuální,,,
curse,kletba,,,
curves,k?ivky,,,
customer,zákazník,,,4
customize,p?izp?sobit,,,
champion,mistr,,,2
classes,mistr,,,1
careers,kariéry,,,3
convene,kariéry,,,1
Celeste,Celeste,,,1
Cassinetto,Cassinetto,,,1
CLMP,CLMP,,,3
convened,svoláno,,,1
Claire,Claire,,,1
Cave,Jeskyn?,,,1
Canem,T?tina,,,1
clef,klí?,,,2
cast,obsazení,,,2
Claflin,Claflin,,,3
charismatic,charismatický,,,1
cautionary,varovný,,,1
castmates,castmates,,,1
Chacon,Chacon,,,1
clubs,kluby,,,1
complicated,složitý,,,1
cassette,kazeta,,,1
CDs,CD,,,2
crazy,CD,,,1
Chaflin,šílený,,,1
Cranberries,Chaflin,,,1
Cruz,Cruz,,,15
Conservancy,Ochrana p?írody,,,2
commercial,komer?ní,,,1
conservation,zachování,,,1
collecting,sbírání,,,1
consistently,d?sledn?,,,1
cellular,bun??ný,,,2
Cognito,Cognito,,,1
conclusions,záv?ry,,,1
conveys,p?enáší,,,1
capturing,zachycení,,,1
Cemovic,?emovi?,,,1
Catalina,Catalina,,,1
certainly,rozhodn?,,,1
competitive,konkuren?ní,,,1
complement,dopln?k,,,1
claiming,Nárok,,,1
confidence,d?v?ra,,,1
continuation,pokra?ování,,,1
coat,kabát,,,2
culminated,vyvrcholila,,,1
Carnegie,Carnegie,,,1
claps,tleská,,,1
certified,certifikovaný,,,2
crying,plá?,,,1
construction,konstrukce,,,2
convenient,pohodlné,,,3
Connie,Connie,,,1
contains,obsahuje,,,1
cart,vozík,,,1
confirmation,potvrzení,,,3
contrast,kontrast,,,1
containing,obsahující,,,1
Culver,Culver,,,14
caffeine,kofein,,,1
cafe,kavárna,,,1
cultural,kulturní,,,1
Candy,Bonbón,,,1
complex,komplex,,,1
concludes,uzavírá,,,1
Climate,klima,,,43
companies,spole?nosti,,,12
conventional,konven?ní,,,1
Chemical,Chemikálie,,,1
crusts,krusty,,,1
consortium,konsorcium,,,1
commits,zavazuje,,,1
conveyor,dopravník,,,1
combat,boj,,,1
China,?ína,,,2
Catalytic,Katalytické,,,1
Compact,Kompaktní,,,1
conducts,vede,,,1
codified,kodifikovaný,,,1
constantly,neustále,,,1
