,,,,
early,brzy,,,10
empowered,zmocnen,,,5
ever,v?bec,,,8
exciting,vzrušující,,,5
exist,existovat,,,6
externally,o?ekávání,,,5
expectation,o?ekávání,,,6
ESPN,ESPN,,,5
Emmy-winning,Vít?z ceny Emmy,,,5
ecosystem,zajistit,,,7
ensure,zajistit,,,10
everyone,každý,,,4
engineer,inženýr,,,3
exactly,p?esn?,,,3
excited,vzrušený,,,5
expert,expert,,,5
extended,prodloužený,,,3
edition,edice,,,3
echoing,ozv?na,,,3
empowers,zmoc?uje,,,4
events,Události,,,3
echo,echo,,,2
everything,všechno,,,6
educational,vzd?lávací,,,1
emphasized,zd?raznil,,,1
endless,nekone?ný,,,1
engaging,poutavé,,,2
entertained,bavili,,,1
entire,celý,,,2
excellence,excelence,,,1
efficient,ú?inný,,,1
end,konec,,,3
explore,podporovat,,,1
Encouraged,podporovat,,,3
eliminating,eliminující,,,2
encounter,setkání,,,1
easy,snadný,,,6
emergency,nouzový,,,1
even,dokonce,,,3
Eventually,Nakonec,,,1
expects,o?ekává,,,1
expanding,rozši?ující se,,,1
eczema,ekzém,,,1
existing,existující,,,2
eligible,vhodný,,,6
eligibility,zp?sobilost,,,2
each,každý,,,5
earlier,d?íve,,,
earn,vydelat,,,
earthquake,zem?t?esení,,,
easier,jednodušší,,,1
easily,snadno,,,1
east,východ,,,1
Easterbrook,Easterbrook,,,
Economic,Hospodá?ský,,,3
economy,ekonomika,,,
educates,vychovává,,,
education,vzd?lání,,,3
effectively,ú?inn?,,,
effects,efekty,,,
efficiency,ú?innost,,,
efforts,úsilí,,,7
electricity,elekt?ina,,,
electronics,elektronika,,,
elements,Prvky,,,
else,jiný,,,3
elsewhere,nekde jinde,,,2
embarrassing,trapný,,,
embedded,vložené,,,
Emirates,Emirates,,,
emissions,emisí,,,
empathy,empatie,,,
emphasizes,zd?raz?uje,,,
employee,zam?stnanec,,,4
employer,zam?stnavatel,,,
enable,umožnit,,,
ended,skon?ilo,,,1
energy,energie,,,1
engage,zapojit,,,1
Engineering,Inženýrství,,,
English,Angli?tina,,,1
enhance,zlepšit,,,
enjoyed,užil si,,,
enjoys,si užívá,,,
enough,dost,,,1
enrolling,p?ihlašování,,,
enslaved,zotro?ený,,,
ensuring,zajišt?ní,,,2
entering,zadávání,,,
enthusiasts,nadšenci,,,
entrepreneur,podnikatel,,,1
entry,vstup,,,
environment,životní prostredí,,,3
environmental,životního prost?edí,,,10
environmentally,ekologicky,,,
epic,epické,,,
equipment,za?ízení,,,
equipped,vybavený,,,
Eric,Eric,,,
especially,zvlášt?,,,1
essays,eseje,,,
essential,nezbytný,,,1
established,založeno,,,2
establishes,zakládá,,,
evaluations,hodnocení,,,
evening,ve?er,,,
everywhere,všude,,,
example,p?íklad,,,1
excellent,vynikající,,,
exceptional,výjimecný,,,
executives,vedoucí pracovníci,,,
exhausting,vycerpávající,,,
exhibit,exponát,,,
expand,rozší?it,,,
expected,o?ekávaný,,,1
expedite,urychlit,,,
expense,výdaj,,,
expensive,drahý,,,
expertise,odbornost,,,
explain,vysv?tlit,,,
explained,vysv?tlil,,,
explicit,explicitní,,,
exploration,pr?zkum,,,
exploring,zkoumání,,,
exposed,vystavený,,,
extensive,rozsáhlý,,,
extensively,rozsáhle,,,
extra,další,,,
eye,oko,,,1
empowering,zmocn?ní,,,1
experiment,experiment,,,1
emerging,vznikající,,,2
enthusiastic,nadšený,,,1
egos,ega,,,1
excess,p?ebytek,,,1
era,éra,,,3
experience,Zkušenosti,,,8
enjoyment,zážitek,,,1
emotionally,emocionální,,,1
engaged,zasnoubený,,,1
extinctions,vymírání,,,1
eagles,Orli,,,1
expansive,expanzivní,,,1
Email,e-mailem,,,6
expanded,rozší?ený,,,2
eyeing,pohledem,,,1
emails,e-maily,,,1
Expands,Expanduje,,,1
episodes,epizod,,,2
epiphany,zjevení,,,1
earned,vyd?lal,,,4
enrolled,zapsáno,,,2
enemy,nep?ítel,,,1
expedited,urychleno,,,1
earning,vyd?lávat,,,1
entertainment,zábava,,,2
earliest,nejd?íve,,,1
exclusive,výhradní,,,1
Eddie,Eddie,,,1
evaluating,hodnotící,,,1
eliminated,vylou?eno,,,1
equity,spravedlnost,,,17
entities,entity,,,1
equal,rovnat se,,,1
Empowerment,Zmocn?ní,,,6
equality,rovnost,,,4
Elevate,Povýšit,,,1
Elemental,Elementární,,,2
Excelerator,Excelerátor,,,2
establishing,založení,,,1
embedding,vkládání,,,1
Employment,Zam?stnanost,,,1
evolving,vyvíjející se,,,1
