,,,,
got,dostal,,,13
growth,r?st,,,9
give,dát,,,8
going,jít,,,10
good,dobrý,,,8
globally,Gonzalez,,,4
graphic,grafický,,,3
Guide,Pr?vodce,,,4
getting,získávání,,,4
girlfriend,p?ítelkyn?,,,4
growing,rostoucí,,,3
Germany,N?mecko,,,3
grease,tuk,,,2
Glow,Zá?e,,,2
great,Zá?e,,,5
grown,dosp?lý,,,3
given,dosp?lý,,,2
glove,rukavice,,,1
gains,zisky,,,
Gallemore,Gallemore,,,
game,hra,,,2
game-changing,m?nící hru,,,
gaming,hraní her,,,
gap,mezera,,,1
garage,garáž,,,
gas,plyn,,,1
Gates,Brány,,,
gay,gay,,,
Geechee,Geechee,,,
gender-affirming,gender-potvrzující,,,
generate,generovat,,,1
generations,generace,,,
generosity,velkorysost,,,
genesis,Genesis,,,
George,Ji?í,,,
giant,ob?í,,,
gifts,dárkové p?edm?ty,,,
gigawatt,gigawatt,,,
glamorous,okouzlující,,,
glass,sklenka,,,
glimpse,záblesk,,,1
globe,zem?koule,,,
glorious,slavný,,,
glory,sláva,,,
glue,lepidlo,,,
goal,fotbalová branka,,,1
goes,jde,,,2
gold,zlato,,,
go-to-market,jít do obchodu,,,
gotten,dostal,,,1
government,vláda,,,
grandma,babi?ka,,,
grants,granty,,,9
grateful,vd??ný,,,
green,zelená,,,1
greenhouse,skleník,,,
grew,rostl,,,2
grids,m?ížky,,,
grocery,potraviny,,,1
ground,p?ízemní,,,
groups,skupiny,,,3
guarantees,záruky,,,
guests,Hosté,,,
Girls,dívky,,,2
genres,žánry,,,1
guidance,vedení,,,3
gave,dal,,,2
gets,dostane,,,1
Genuinely,Skute?n?,,,2
God,B?h,,,1
greater,v?tší,,,2
gnawers,hlodavci,,,1
golden,zlatý,,,1
grass,tráva,,,1
gust,závan,,,1
Gateway,Brána,,,1
Generating,Generování,,,1
goodbye,Ahoj,,,1
Gordon,Gordon,,,1
GEDs,GED,,,2
gained,získal,,,1
Galetti,Galetti,,,1
graduated,absolvoval,,,1
grade,školní známka,,,1
Gone,Pry?,,,2
greeted,pozdravil,,,1
Genecis,Genecis,,,11
grassroots,zdola,,,1
Greentown,Greentown,,,2
governance,vládnutí,,,1
