,,,,,,,,,
is,je,,,173,,,,,
it,to,,,111,,,,,
image,obraz,,,45,,,,,
inspired,inspirovaný,,,13,,,,,
incredibly,neuv??iteln?,,,11,,,,,
into,do,,,18,,,,,
identify,identifikovat,,,5,,,,,
importance,d?ležitost,,,5,,,,,
including,po?ínaje,,,20,,,,,
India,Indie,,,8,,,,,
industry,pr?mysl,,,9,,,,,
infamous,nechvaln? známý,,,5,,,,,
internal,vnit?ní,,,5,,,,,
internally,vnit?n?,,,5,,,,,
if,pokud,,,16,,,,,
impaired,postižený,,,3,,,,,
influencer,influencer,,,3,,,,,
information,informace,,,5,,,,,
implementation,implementace,,,3,,,,,
include:,zahrnout:,,,3,,,,,
ignores,ignoruje,,,2,,,,,
improve,zlepšit,,,2,,,,,
impact,dopad,,,6,,,,,
items,položky,,,6,,,,,
important,D?ležité,,,7,,,,,
impossible,nemožné,,,1,,,,,
increased,zvýšené,,,1,,,,,
ideas,nápady,,,2,,,,,
include,zahrnout,,,6,,,,,
increase,zvýšit,,,2,,,,,
initially,zpo?átku,,,1,,,,,
interest,zájem,,,1,,,,,
illustration,ilustrace,,,1,,,,,
infant,kojenec,,,1,,,,,
Instagram,Instagram,,,1,,,,,
involved,zapojený,,,1,,,,,
iconic,ikonický,,,2,,,,,
ideal,ideál,,,,,,,,
identifying,identifikace,,,,,,,,
illuminate,osv?tlit,,,1,,,,,
illustrated,ilustrovaný,,,1,,,,,
I'm,jsem,,,,,,,,
immediate,bezprost?ední,,,,,,,,
impacted,ovlivn?no,,,1,,,,,
implemented,implementováno,,,,,,,,
importantly,d?ležité,,,,,,,,
improved,zlepšila,,,,,,,,
improvement,zlepšení,,,,,,,,
improving,zlepšení,,,,,,,,
incarcerated,uv?zn?n,,,,,,,,
included,zahrnuta,,,,,,,,
inconspicuous,nenápadný,,,,,,,,
incredible,neuv??itelný,,,,,,,,
independently,nezávisle,,,,,,,,
individuals,Jednotlivci,,,3,,,,,
Indonesia,Indonesie,,,,,,,,1
industrial,pr?myslový,,,,,,,,
industry-leading,vedoucí v oboru,,,2,,,,,
industry-standard,pr?myslový standard,,,,,,,,
influence,vliv,,,1,,,,,
infrastructure,infrastruktura,,,2,,,,,
infringing,porušující autorská práva,,,,,,,,
Ingenuity,vynalézavost,,,,,,,,
Ingleby,Ingleby,,,,,,,,
in-house,vnitropodnikov?,,,,,,,,
initial,po?áte?ní,,,,,,,,
Initiative,Iniciativa,,,4,,,,,
innovation,inovace,,,2,,,,,
innovative,inova?ní,,,3,,,,,
in-person,osobn?,,,,,,,,
inputs,vstupy,,,,,,,,
inside,uvnit?,,,4,,,,,
insight,porozum?ní,,,,,,,,
inspires,inspiruje,,,,,,,,
installed,nainstalováno,,,,,,,,
instinct,instinkt,,,,,,,,
instruction,návod,,,,,,,,
instructional,instruktážní,,,,,,,,
instructor,instruktor,,,,,,,,
instrumental,instrumentální,,,,,,,,
integrator,integrátor,,,,,,,,
intelligence,inteligence,,,2,,,,,
intelligent,inteligentní,,,,,,,,
intentional,úmyslné,,,,,,,,
interactions,interakce,,,,,,,,
interactive,interaktivní,,,,,,,,
interested,zájem,,,,,,,,
Interior,Interiér,,,,,,,,
intern,interní,,,,,,,,
International,Mezinárodní,,,3,,,,,
interoperable,interoperabilní,,,,,,,,
interpret,interpretovat,,,,,,,,
interpreter,tlumo?ník,,,,,,,,
interpreting,tlumo?ení,,,,,,,,
introduced,p?edstavil,,,1,,,,,
invented,vynalezl,,,,,,,,
invention,vynález,,,,,,,,
inventors,vynálezce,,,,,,,,
inventory,inventá?,,,,,,,,
investment,investice,,,7,,,,,
involv,zapojit,,,,,,,,
involves,zahrnuje,,,,,,,,
Island,ostrov,,,24,,,,,
isolation,izolace,,,,,,,,
issues,problémy,,,1,,,,,
Istanbul,Istanbul,,,,,,,,
Italy,Itálie,,,1,,,,,
it's,své,,,,,,,,
itself,sám,,,1,,,,,
I've,já jsem,,,,,,,,
institutions,institucí,,,1,,,,,
internationally,mezinárodn?,,,1,,,,,
increasing,vzr?stající,,,1,,,,,
inquiry,poptávka,,,1,,,,,
interpersonal,mezilidské,,,1,,,,,
idealism,idealismus,,,1,,,,,
icons,ikony,,,1,,,,,
inspiration,inspirace,,,1,,,,,
invasive,invazivní,,,3,,,,,
imagery,obraznost,,,1,,,,,
ingested,požití,,,1,,,,,
implications,Dopady,,,1,,,,,
intentionally,zám?rn?,,,1,,,,,
intended,zamýšlený,,,1,,,,,
investigators,vyšet?ovatelé,,,2,,,,,
informed,informovaný,,,1,,,,,
impeccable,dokonalý,,,1,,,,,
innovating,inovovat,,,1,,,,,
interviewing,pohovor,,,1,,,,,
inches,palce,,,2,,,,,
ineligible,nezp?sobilý,,,1,,,,,
installations,instalací,,,1,,,,,
IMDb,IMDb,,,1,,,,,
indoor,krytý,,,1,,,,,
immediately,ihned,,,1,,,,,
illuminated,osv?tlené,,,1,,,,,
investing,investování,,,6,,,,,
invests,investuje,,,3,,,,,
incubators,inkubátor,,,3,,,,,
ignite,zapálit,,,1,,,,,
inequities,nespravedlnosti,,,1,,,,,
ILFI,ILFI,,,2,,,,,
inequalities,nerovnosti,,,1,,,,,
innovate,inovovat,,,1,,,,,
invested,investoval,,,2,,,,,
inclusion,za?azení,,,3,,,,,
ingrained,zako?en?ný,,,1,,,,,
inclusivity,inkluzivita,,,1,,,,,
interventions,zásahy,,,1,,,,,
