,,,,
job,práce,,,24
journey,cesta,,,6
jewel,klenot,,,6
Jay,Sojka,,,5
Jared,Jared,,,5
just,prost?,,,16
jacket,Bunda,,,
Japan,Japonsko,,,
Jaquise,Jaquise,,,
Jemisin,Jemišin,,,
Jersey,Trikot,,,
Jessica,Jessica,,,
Johnson,Johnson,,,
join,p?ipojit,,,3
joining,spojování,,,1
journalist,noviná?,,,
Jr.,Jr.,,,
judgment,rozsudek,,,
June,?erven,,,1
Jenkins,Jenkins,,,2
Jones,Jones,,,11
Josh,Josh,,,1
Jim,Jime,,,2
Jackson,Jacksone,,,3
Janet,Janet,,,1
Juli,Juli,,,1
joined,se p?ipojil,,,1
Jacobsen,Jacobsen,,,1
Jassy,Jassy,,,2
