,,,,
Kids,D?ti,,,9
Korn,Korn,,,6
Kidscreen,D?tská obrazovka,,,4
Kids-Only,Pouze pro d?ti,,,3
kid,dít?,,,3
Kindle,Roznítit,,,2
kitchen,kuchyn?,,,2
Katie,Katie,,,2
Kanso,Kanso,,,2
keeps,udržuje,,,1
kid-centric,zam??ený na d?ti,,,1
knowing,v?d?t,,,3
know,v?d?t,,,9
key,klí?,,,4
knew,v?d?l,,,2
knowledgeable,znalý,,,1
kid-friendly,vhodné pro d?ti,,,1
kind,druh,,,1
Kampus,Kampus,,,
keeping,udržování,,,
keyboard,klávesnice,,,
killed,zabil,,,
kin,p?íbuzní,,,
Klement,Klement,,,
knowledge,znalost,,,
known,známý,,,
Korea,Korea,,,
Koszalin,Koszalin,,,
Keough,Keough,,,5
kept,zachováno,,,2
kicks,kopy,,,1
King,Král,,,1
Kong,Kong,,,1
Kara,Kara,,,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
