,,,,
more,více,,,69
me,m?,,,33
most,v?tšina,,,24
male-dominated,ovládaná muži,,,10
meet,setkat,,,8
Michael,Michaele,,,8
media,média,,,7
making,tvorba,,,12
mom,maminka,,,7
marketing,marketing,,,5
made,vyrobeno,,,9
managing,?ízení,,,5
microphone,mikrofon,,,5
myself,moje mali?kost,,,5
Malia,Malia,,,5
moderated,moderované,,,5
Marie,Marie,,,5
Marine,Námo?ní,,,5
modeling,modelování,,,5
mind,mysl,,,6
market,trh,,,5
million,milión,,,19
management,?ízení,,,5
manager,manažer,,,4
members,?len?,,,3
meters,metr?,,,3
Miss,"Sle?na, minout",,,4
music,hudba,,,20
movies,filmy,,,3
majority,v?tšina,,,4
Month,M?síc,,,3
may,sm?t,,,5
Molly,Molly,,,2
Max,Max,,,2
makes,d?lá,,,6
mitten,rukavice,,,2
Marvel,Zázrak,,,1
meaningful,smysluplné,,,2
mission,mise,,,5
moments,momenty,,,2
machine,stroj,,,4
machinery,stroje,,,
magic,kouzlo,,,
maintain,udržovat,,,1
maintenance,údržba,,,1
major,"hlavní, d?ležitý",,,2
makeup,makeup,,,
Malatya,Malatya,,,
mama,máma,,,
man,muž,,,3
mantra,mantra,,,
Maria,Maria,,,
Mary's,Mary's,,,
master,mistr,,,
material,materiál,,,
mates,kamarádi,,,
Mats,Mats,,,
matters,záležitosti,,,
Maybe,Možná,,,3
meals,jídla,,,
mean,znamenat,,,
mechanisms,mechanismy,,,
medicine,lék,,,
memoirs,pam?ti,,,
memorable,památný,,,
mental,duševní,,,
merger,fúze,,,
metrics,metriky,,,
metros,metra,,,
Michelle,Michelle,,,
middle,st?ední,,,
might,mohl,,,4
Mike,Mike,,,
mile,míle,,,
millennials,mileniálové,,,
mini,mini,,,
minimal,minimální,,,
minutes,minut,,,
mirror,zrcadlo,,,
misconception,mylná p?edstava,,,
mistakes,chyby,,,
misunderstood,nepochopeno,,,
mixes,sm?si,,,
MladÃ¡,mladý,,,
mock,falešný,,,
model,Modelka,,,
modern,moderní,,,1
Monday,pond?lí,,,
Monteleone,Monteleone,,,
month,M?síc,,,3
morale,morálka,,,
morning,ráno,,,1
motivational,motiva?ní,,,
motto,motto,,,
move,hýbat se,,,
moved,p?est?hoval,,,1
moving,pohybující se,,,
much,hodn?,,,6
much-needed,velmi pot?ebné,,,
multiple,násobek,,,2
must,musí,,,4
mustard,ho??ice,,,
mustard-based,na bázi ho??ice,,,
myths,mýty,,,
marginalized,marginalizováno,,,2
Minneapolis,Minneapolis,,,1
magazines,?asopis,,,3
Mendoza,Mendoza,,,1
membership,?lenství,,,2
March,b?ezen,,,5
meteoric,meteorický,,,1
musical,hudební,,,2
Morrison,Morrison,,,2
Mitchell,Mitchell,,,1
Mamas,maminky,,,1
Mine,t?žit,,,2
Moonwalker,Nám?sí?ný,,,1
mood,nálada,,,3
musician,hudebník,,,1
meant,znamenalo,,,1
mostly,v?tšinou,,,2
map,mapa,,,2
mass,Hmotnost,,,1
many,mnoho,,,3
mount,namontovat,,,1
monitoring,sledování,,,1
mounted,jízdní,,,1
motion,pohyb,,,1
Meanwhile,Mezitím,,,1
mountain,hora,,,1
malfunctions,poruchy,,,1
mesh,pletivo,,,2
mice,myši,,,1
mouth,pusa,,,1
mouse,myš,,,1
Meyler,Meyler,,,1
Matos,Matos,,,1
Marko,Marko,,,1
Marple,Marple,,,1
Montague,Montague,,,1
message,zpráva,,,1
Misleading,Zavád?jící,,,1
Marvelous,Úžasné,,,5
Mrs,paní,,,6
Miriam,Miriam,,,1
Midge,Midge,,,5
Maisel,Maisel,,,5
maroon,kaštanové,,,1
milestones,milníky,,,1
museum,muzeum,,,1
mail,pošta,,,1
mother,matka,,,1
mailroom,podatelna,,,1
meantime,mezitím,,,1
mansion,sídlo,,,2
matcha,zápas,,,1
murals,nást?nné malby,,,1
Murphy,Murphy,,,1
magical,magický,,,1
money,peníze,,,1
medical,léka?ský,,,1
mutual,vzájemné,,,4
marketplace,tržišt?,,,2
manufacturing,výrobní,,,2
Mara,Mara,,,1
multiyear,Více let,,,1
