,,,,
who,kdo,,,51
work,práce,,,41
when,když,,,30
Within,V rámci,,,22
world,svet,,,21
Watching,Sledování,,,17
where,kde,,,23
while,zatímco,,,16
way,cesta,,,16
will,v?le,,,41
working,pracovní,,,25
would,bych,,,19
want,chtít,,,12
were,byli,,,16
welcomed,vítán,,,5
women,ženy,,,40
Whitworth,Whitworth,,,5
writer,spisovatel,,,5
work-life,pracovní život,,,5
whatever,To je jedno,,,5
which,který,,,23
woman,žena,,,7
wait,Po?kejte,,,4
wearing,nošení,,,3
wanted,cht?l,,,3
workers,pracovník?,,,5
Wondery,P?ekvapiv?,,,1
why,proc,,,3
wallet-sized,velikosti pen?ženky,,,1
worth,hodnota,,,1
went,šel,,,9
weekly,týdn?,,,1
winning,vít?zný,,,1
walks,procházky,,,1
wall,st?na,,,1
wantmore,chtít víc,,,
warehouse,sklad,,,
warm,teplý,,,
washing,mytí,,,
waste,odpad,,,5
watched,pozorovala,,,2
water,voda,,,
way.,cesta.,,,
wealth,bohatství,,,
weather,po?así,,,1
Web,Web,,,
website,webová stránka,,,2
Wednesday,st?eda,,,
week,týden,,,1
welcome,Vítejte,,,
well-known,dob?e známý,,,
wellspring,pramen,,,
we're,jsme,,,
west,Západ,,,
whatsoever,v?bec,,,
whether,zda,,,
who's,kdo je,,,
whose,jehož,,,3
widen,rozší?it,,,
wider,širší,,,
widespread,rozší?ený,,,
wife,manželka,,,
willingly,ochotn?,,,
wind,vítr,,,3
winner,vít?z,,,
winter,zima,,,
without,bez,,,5
Wolf,Vlk,,,
wondered,divil se,,,
wonderful,báje?né,,,
word,slovo,,,
workday,pracovní den,,,
workplace,pracovišt?,,,3
worldwide,celosv?tov?,,,3
worry,trápit se,,,
writing,psaní,,,6
written,psaný,,,
wrote,napsal,,,
Woodworth,Woodworth,,,1
Wright,Wright,,,1
Words,Slova,,,2
workshops,workshopy,,,1
Waterhouse,slova,,,2
Whitehouse,Bílý d?m,,,1
Waits,?eká,,,3
Weeks,týdny,,,2
whole,Celý,,,3
wildlife,týdn?,,,1
warning,Celý,,,1
wreak,zp?sobit,,,1
wrong,špatn?,,,1
wireless,bezdrátový,,,4
Woorke,Woorke,,,1
walking,ch?ze,,,1
worried,ustaraný,,,1
weigh,vážit,,,2
Wizard,kouzelník,,,1
Welles,Welles,,,1
walkways,zp?soby,,,1
warming,oteplování,,,2
worked,pracoval,,,1
Wang,Wang,,,2
weight,hmotnost,,,1
wears,nosí,,,1
WEPs,WEP,,,2
Workplaces,Pracovišt?,,,1
Wages,mzdy,,,1
